customer_id,name,location
101,Customer_101,California
102,Customer_102,Florida
103,Customer_103,New York
104,Customer_104,Florida
105,Customer_105,Texas
106,Customer_106,Texas
107,Customer_107,California
108,Customer_108,Florida
109,Customer_109,Florida
110,Customer_110,California
111,Customer_111,California
112,Customer_112,Texas
113,Customer_113,California
114,Customer_114,Illinois
115,Customer_115,Illinois
116,Customer_116,Florida
117,Customer_117,Texas
118,Customer_118,Florida
119,Customer_119,New York
120,Customer_120,New York
121,Customer_121,California
122,Customer_122,California
123,Customer_123,Florida
124,Customer_124,Illinois
125,Customer_125,California
126,Customer_126,Illinois
127,Customer_127,California
128,Customer_128,Texas
129,Customer_129,Texas
130,Customer_130,New York
131,Customer_131,Florida
132,Customer_132,New York
133,Customer_133,Florida
134,Customer_134,Illinois
135,Customer_135,New York
136,Customer_136,New York
137,Customer_137,California
138,Customer_138,Florida
139,Customer_139,Texas
140,Customer_140,California
141,Customer_141,Florida
142,Customer_142,Illinois
143,Customer_143,Illinois
144,Customer_144,Illinois
145,Customer_145,New York
146,Customer_146,Illinois
147,Customer_147,California
148,Customer_148,New York
149,Customer_149,California
150,Customer_150,New York
151,Customer_151,New York
152,Customer_152,California
153,Customer_153,California
154,Customer_154,Florida
155,Customer_155,Florida
156,Customer_156,Illinois
157,Customer_157,Florida
158,Customer_158,California
159,Customer_159,New York
160,Customer_160,Illinois
161,Customer_161,New York
162,Customer_162,Florida
163,Customer_163,Florida
164,Customer_164,Texas
165,Customer_165,California
166,Customer_166,New York
167,Customer_167,Illinois
168,Customer_168,Florida
169,Customer_169,California
170,Customer_170,California
171,Customer_171,Illinois
172,Customer_172,Florida
173,Customer_173,Illinois
174,Customer_174,New York
175,Customer_175,Illinois
176,Customer_176,Florida
177,Customer_177,Florida
178,Customer_178,Texas
179,Customer_179,California
180,Customer_180,Florida
181,Customer_181,Texas
182,Customer_182,Illinois
183,Customer_183,Florida
184,Customer_184,Texas
185,Customer_185,Florida
186,Customer_186,California
187,Customer_187,California
188,Customer_188,California
189,Customer_189,California
190,Customer_190,Texas
191,Customer_191,New York
192,Customer_192,Texas
193,Customer_193,Florida
194,Customer_194,New York
195,Customer_195,New York
196,Customer_196,Texas
197,Customer_197,California
198,Customer_198,Illinois
199,Customer_199,New York
200,Customer_200,California
